            lead_box  |                root  |lead box which contains the fibers  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  |7070702   |                 Box  |                                 0.55*cm 0.733012702*cm 2*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                flux  |                flux  |                         lead manual 349 
              core_1  |            lead_box  |  0 0 th fiber in the lead box  |                      -0.5*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 1 
              core_2  |            lead_box  |  1 0 th fiber in the lead box  |                     -0.5*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 2 
              core_3  |            lead_box  |  2 0 th fiber in the lead box  |                     -0.5*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 3 
              core_4  |            lead_box  |  3 0 th fiber in the lead box  |                      -0.5*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 4 
              core_5  |            lead_box  |  4 0 th fiber in the lead box  |                      -0.5*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 5 
              core_6  |            lead_box  |  5 0 th fiber in the lead box  |                       -0.5*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 6 
              core_7  |            lead_box  |  0 1 th fiber in the lead box  |                      -0.4*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 7 
              core_8  |            lead_box  |  1 1 th fiber in the lead box  |                     -0.4*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 8 
              core_9  |            lead_box  |  2 1 th fiber in the lead box  |                     -0.4*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         fibera manual 9 
             core_10  |            lead_box  |  3 1 th fiber in the lead box  |                      -0.4*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 10 
             core_11  |            lead_box  |  4 1 th fiber in the lead box  |                      -0.4*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 11 
             core_12  |            lead_box  |  5 1 th fiber in the lead box  |                       -0.4*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 12 
             core_13  |            lead_box  |  0 2 th fiber in the lead box  |                      -0.3*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 13 
             core_14  |            lead_box  |  1 2 th fiber in the lead box  |                     -0.3*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 14 
             core_15  |            lead_box  |  2 2 th fiber in the lead box  |                     -0.3*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 15 
             core_16  |            lead_box  |  3 2 th fiber in the lead box  |                      -0.3*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 16 
